Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,38.58,39.94,38.31,39.59,1083100,21.57,0.0,21.57,21.57
2016-01-05,2016,1,5,Tuesday,01,2016-01,39.78,40.0,38.72,39.54,717700,21.55,-0.0012624830341961824,21.560000000000002,21.560000000000002
2016-01-06,2016,1,6,Wednesday,01,2016-01,39.04,39.42,38.0,38.33,422200,20.89,-0.03060232443918942,21.33666666666667,21.33666666666667
2016-01-07,2016,1,7,Thursday,01,2016-01,37.6,38.0,36.15,37.29,486400,20.32,-0.027132525908676985,21.0825,21.0825
2016-01-08,2016,1,8,Friday,01,2016-01,37.33,38.05,36.09,36.69,392300,19.99,-0.0160902190707376,20.863999999999997,20.863999999999997
2016-01-11,2016,1,11,Monday,02,2016-02,36.99,36.99,34.46,35.02,500000,19.08,-0.04551627168241079,20.566666666666666,20.566666666666666
2016-01-12,2016,1,12,Tuesday,02,2016-02,35.18,35.43,31.78,34.58,958100,18.84,-0.012564623525577079,20.32,20.32
2016-01-13,2016,1,13,Wednesday,02,2016-02,34.86,34.86,32.16,33.19,540200,18.09,-0.040196692530356404,20.041249999999998,20.041249999999998
2016-01-14,2016,1,14,Thursday,02,2016-02,33.24,34.86,33.0,34.48,692200,18.79,0.038867544060401604,19.90222222222222,19.90222222222222
2016-01-15,2016,1,15,Friday,02,2016-02,33.28,34.95,32.75,34.9,691400,19.02,0.012180816488090329,19.814,19.814
2016-01-19,2016,1,19,Tuesday,03,2016-03,34.97,35.19,31.0,32.15,863500,17.52,-0.0787965930731116,19.605454545454545,19.605454545454545
2016-01-20,2016,1,20,Wednesday,03,2016-03,30.97,31.02,26.34,29.27,1133700,15.95,-0.08958007612610452,19.300833333333333,19.300833333333333
2016-01-21,2016,1,21,Thursday,03,2016-03,29.22,29.45,27.46,28.19,1189500,15.36,-0.03689774268405177,18.997692307692308,18.997692307692308
2016-01-22,2016,1,22,Friday,03,2016-03,29.55,31.26,29.16,30.12,904100,16.41,0.0684640744028957,18.812857142857144,18.812857142857144
2016-01-25,2016,1,25,Monday,04,2016-04,29.59,32.53,29.43,30.38,1443100,16.55,0.008632252939107854,18.454285714285714,18.662
2016-01-26,2016,1,26,Tuesday,04,2016-04,31.65,32.98,30.3,32.65,1064300,17.79,0.07472006605292414,18.185714285714287,18.607499999999998
2016-01-27,2016,1,27,Wednesday,04,2016-04,32.9,33.88,32.29,33.82,982200,18.43,0.03583449726210497,18.01,18.59705882352941
2016-01-28,2016,1,28,Thursday,04,2016-04,34.58,35.14,33.12,34.14,893500,18.6,0.009461952126372353,17.887142857142855,18.59722222222222
2016-01-29,2016,1,29,Friday,04,2016-04,34.4,35.03,33.8,34.01,493500,18.53,-0.0038079520784507492,17.782857142857143,18.593684210526316
2016-02-01,2016,2,1,Monday,05,2016-05,34.01,34.86,32.33,33.47,561000,18.24,-0.015877611403877334,17.722857142857144,18.576
2016-02-02,2016,2,2,Tuesday,05,2016-05,32.93,33.15,32.11,32.7,545800,17.82,-0.023005658414964048,17.65,18.54
2016-02-03,2016,2,3,Wednesday,05,2016-05,32.05,32.24,29.34,30.34,1486400,16.95,-0.04887299012790558,17.568571428571428,18.467727272727274
2016-02-04,2016,2,4,Thursday,05,2016-05,31.17,31.43,29.53,31.28,331600,17.47,0.03098199479996344,17.474285714285713,18.424347826086954
2016-02-05,2016,2,5,Friday,05,2016-05,30.64,31.07,28.53,29.13,717500,16.27,-0.06873387320294388,17.277857142857144,18.33458333333333
2016-02-08,2016,2,8,Monday,06,2016-06,28.22,28.28,23.46,24.46,1144600,13.66,-0.16031578146570324,17.002142857142857,18.1476
2016-02-09,2016,2,9,Tuesday,06,2016-06,24.7,24.92,22.86,23.51,863900,13.13,-0.03883893141652994,16.800714285714285,17.954615384615384
2016-02-10,2016,2,10,Wednesday,06,2016-06,23.89,24.75,23.58,23.81,824800,13.3,0.012760454660096121,16.65357142857143,17.782222222222224
2016-02-11,2016,2,11,Thursday,06,2016-06,23.64,24.42,23.11,23.2,718300,12.96,-0.025619548895794764,16.407142857142855,17.61
2016-02-12,2016,2,12,Friday,06,2016-06,24.0,24.55,23.34,24.14,914700,13.48,0.04051727087913615,16.187857142857144,17.467586206896552
2016-02-16,2016,2,16,Tuesday,07,2016-07,26.65,28.39,26.25,28.16,1789200,15.73,0.16652859896801786,16.040714285714284,17.409666666666666
2016-02-17,2016,2,17,Wednesday,07,2016-07,28.6,31.39,28.6,29.79,1236500,16.64,0.0578836385595054,15.912857142857144,17.384838709677418
2016-02-18,2016,2,18,Thursday,07,2016-07,30.09,30.59,28.81,29.78,622700,16.63,-0.0003357308651174007,15.772142857142857,17.36125
